time,topic,payload
2366,rpm,"{""sec"":18,""usec"":511336,""rpm"":0}"
2375,rpm,"{""sec"":18,""usec"":559581,""rpm"":0}"
2400,stroke/front,"{""sec"":18,""usec"":583770,""left"":0.014501953000000000,""right"":0.0064453120000000000}"
2432,acc,"{""sec"":18,""usec"":585360,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
2440,water,"{""sec"":18,""usec"":609706,""inlet_temp"":0,""outlet_temp"":0}"
2448,stroke/rear,"{""sec"":18,""usec"":610029,""right"":0,""left"":0}"
2462,ecu,"{""sec"":18,""usec"":610405,""ect"":2.8479003910000000,""tps"":0.0012207030000000000,""iap"":2.8393554690000000,""gp"":2.3913574220000000}"
2468,rpm,"{""sec"":18,""usec"":611700,""rpm"":0}"
2475,rpm,"{""sec"":18,""usec"":659626,""rpm"":0}"
2501,stroke/front,"{""sec"":18,""usec"":683954,""left"":0.0064453120000000000,""right"":0.0016113280000000000}"
2532,acc,"{""sec"":18,""usec"":685557,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
2540,water,"{""sec"":18,""usec"":709748,""inlet_temp"":0,""outlet_temp"":0}"
2551,stroke/rear,"{""sec"":18,""usec"":710072,""right"":3.2991943360000000,""left"":3.2991943360000000}"
2564,ecu,"{""sec"":18,""usec"":710984,""ect"":2.8479003910000000,""tps"":0,""iap"":2.8442382810000000,""gp"":2.39257812500000}"
2569,rpm,"{""sec"":18,""usec"":711947,""rpm"":0}"
2575,rpm,"{""sec"":18,""usec"":759670,""rpm"":0}"
2601,stroke/front,"{""sec"":18,""usec"":784141,""left"":0.023364258000000000,""right"":0.0080566410000000000}"
2632,acc,"{""sec"":18,""usec"":785744,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
2641,water,"{""sec"":18,""usec"":809794,""inlet_temp"":0,""outlet_temp"":0}"
2648,stroke/rear,"{""sec"":18,""usec"":810118,""right"":0,""left"":0}"
2663,ecu,"{""sec"":18,""usec"":810502,""ect"":2.8454589840000000,""tps"":0.0024414060000000000,""iap"":2.8381347660000000,""gp"":1.1181640620000000}"
2669,rpm,"{""sec"":18,""usec"":811826,""rpm"":0}"
2675,rpm,"{""sec"":18,""usec"":859717,""rpm"":0}"
2701,stroke/front,"{""sec"":18,""usec"":884319,""left"":0.011279297000000000,""right"":0.0032226560000000000}"
